,name,rating,reviews,info
0,TCS,3.7,(85.4k),IT Services & Consulting | Bangalore / Bengaluru +376 other locations
1,Accenture,3.9,(53.4k),IT Services & Consulting | Bangalore / Bengaluru +193 other locations
2,Wipro,3.7,(50.8k),IT Services & Consulting | Bangalore / Bengaluru +339 other locations
3,Cognizant,3.8,(47.8k),IT Services & Consulting | Chennai +192 other locations
4,Capgemini,3.8,(39.5k),IT Services & Consulting | Bangalore / Bengaluru +155 other locations
5,HDFC Bank,3.9,(37.9k),Banking | Mumbai +1623 other locations
6,Infosys,3.7,(37.1k),IT Services & Consulting | Bangalore / Bengaluru +197 other locations
7,ICICI Bank,4.0,(37k),Banking | Mumbai +1332 other locations
8,HCLTech,3.5,(34.3k),IT Services & Consulting | Chennai +200 other locations
9,Tech Mahindra,3.6,(33.5k),IT Services & Consulting | Hyderabad / Secunderabad +285 other locations
10,Genpact,3.9,(30.1k),IT Services & Consulting | Hyderabad / Secunderabad +133 other locations
11,Teleperformance,3.9,(27.9k),BPO | Mumbai +205 other locations
12,Concentrix Corporation,3.8,(25.3k),BPO | Bangalore / Bengaluru +138 other locations
13,Axis Bank,3.8,(24.4k),Banking | Mumbai +1356 other locations
14,Amazon,4.1,(24.2k),Internet | Bangalore / Bengaluru +458 other locations
15,Jio,3.9,(21.8k),Mumbai +1202 other locations
16,Reliance Retail,3.9,(21.5k),Retail | Mumbai +1042 other locations
17,IBM,4.1,(21.3k),IT Services & Consulting | Bangalore / Bengaluru +154 other locations
18,iEnergizer,4.7,(21.3k),BPO | Noida +38 other locations
19,LTIMindtree,3.9,(20k),IT Services & Consulting | Bangalore / Bengaluru +125 other locations
